Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,470p,
C2,0805,1,2.2u,
"C3, C6",0805,2,10uF,
C7,0603,1,.1uF,
"D1, D2, D3, D4, D5, D6, D7",D_SOD-123,7,1N5819,
"DL1, DL2, DL3, DL4, DL5",0805,5,LED,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J5,TerminalBlock_bornier-6_P5.08mm,1,Screw_Terminal_01x06,
K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,D1,
K2,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,D2,
K3,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,D3,
K4,Relay_SPDT_SANYOU_SRD_Series_Form_C,1,D4,
PS1,Converter_ACDC_Hi-Link_HLK-10Mxx,1,HLK-10M05,
"Q1, Q2, Q3, Q4",TO-92_Inline,4,BC547,
"R1, R2",0603,2,5.1k,
"R10, R11",0603,2,330,
"R3, R4, R5",0603,3,220,
"R6, R7, R8, R9",0603,4,1k,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,XIAO-ESP32S3-DIP,1,XIAO-ESP32-S3-DIP,
